sequence,date,chapter
1,1997-08-04,1
2,1997-08-11,2
3,1997-08-18,3
4,1997-08-25,4
5,1997-09-08,5
6,1997-09-15,6
7,1997-09-22,7
8,1997-09-29,8
9,1997-10-06,9
10,1997-10-13,10
11,1997-10-20,11
12,1997-10-27,12
13,1997-11-03,13
14,1997-11-10,14
15,1997-11-17,15
16,1997-11-24,16
17,1997-12-01,17
18,1997-12-08,18
19,1998-01-01,19
20,1998-01-08,20
21,1998-01-15,21
22,1998-01-26,22
23,1998-01-31,23
24,1998-02-02,24
25,1998-02-09,25
26,1998-02-16,26
27,1998-02-23,27
28,1998-03-02,28
29,1998-03-09,29
30,1998-03-16,30
31,1998-03-23,31
32,1998-03-30,32
33,1998-04-06,33
34,1998-04-13,34
35,1998-04-20,35
36,1998-04-27,36
37,1998-05-04,37
38,1998-05-11,38
39,1998-05-25,39
40,1998-06-01,40
41,1998-06-08,41
42,1998-06-15,42
43,1998-06-22,43
44,1998-06-29,44
45,1998-07-06,45
46,1998-07-13,46
47,1998-07-20,47
48,1998-07-27,48
49,1998-08-03,49
50,1998-08-10,50
51,1998-08-17,51
52,1998-08-24,52
53,1998-09-07,53
54,1998-09-14,54
55,1998-09-21,55
56,1998-09-28,56
57,1998-10-05,57
58,1998-10-12,58
59,1998-10-19,59
60,1998-10-26,60
61,1998-11-02,61
62,1998-11-09,62
63,1998-11-16,63
64,1998-11-23,64
65,1998-11-30,65
66,1998-12-07,66
67,1999-01-01,67
68,1999-01-08,68
69,1999-01-15,69
70,1999-01-28,70
71,1999-01-31,71
72,1999-02-01,72
73,1999-02-08,73
74,1999-02-15,74
75,1999-02-22,75
76,1999-03-01,76
77,1999-03-08,77
78,1999-03-15,78
79,1999-03-22,79
80,1999-03-29,80
81,1999-04-05,81
82,1999-04-12,82
83,1999-04-19,83
84,1999-04-26,84
85,1999-05-03,85
86,1999-05-10,86
87,1999-05-24,87
88,1999-05-31,88
89,1999-06-07,89
90,1999-06-14,90
91,1999-06-21,91
92,1999-06-28,92
93,1999-07-05,93
94,1999-07-12,94
95,1999-07-19,95
96,1999-07-26,96
97,1999-08-02,97
98,1999-08-09,98
99,1999-08-16,99
100,1999-08-23,100
101,1999-09-06,101
102,1999-09-13,102
103,1999-09-20,103
104,1999-09-27,104
105,1999-10-04,105
106,1999-10-11,106
107,1999-10-18,107
108,1999-10-25,108
109,1999-11-01,109
110,1999-11-08,110
111,1999-11-15,111
112,1999-11-22,112
113,1999-11-29,113
114,1999-12-06,114
115,2000-01-01,115
116,2000-01-08,116
117,2000-01-10,117
118,2000-01-16,118
119,2000-01-31,119
120,2000-02-07,120
121,2000-02-14,121
122,2000-02-21,122
123,2000-02-28,123
124,2000-03-06,124
125,2000-03-13,125
126,2000-03-20,126
127,2000-03-27,127
128,2000-04-03,128
129,2000-04-10,129
130,2000-04-17,130
131,2000-04-24,131
132,2000-05-01,132
133,2000-05-08,133
134,2000-05-22,134
135,2000-05-29,135
136,2000-06-05,136
137,2000-06-12,137
138,2000-06-19,138
139,2000-06-26,139
140,2000-07-03,140
141,2000-07-10,141
142,2000-07-17,142
143,2000-07-24,143
144,2000-07-31,144
145,2000-08-07,145
146,2000-08-14,146
147,2000-08-21,147
148,2000-09-04,148
149,2000-09-11,149
150,2000-09-18,150
151,2000-09-25,151
152,2000-10-02,152
153,2000-10-09,153
154,2000-10-16,154
155,2000-10-23,155
156,2000-10-30,156
157,2000-11-06,157
158,2000-11-13,158
159,2000-11-20,159
160,2000-11-27,160
161,2000-12-04,161
162,2000-12-11,162
163,2001-01-01,163
164,2001-01-08,164
165,2001-01-10,165
166,2001-01-17,166
167,2001-01-29,167
168,2001-02-05,168
169,2001-02-12,169
170,2001-02-19,170
171,2001-02-26,171
172,2001-03-12,172
173,2001-03-19,173
174,2001-03-26,174
175,2001-04-02,175
176,2001-04-09,176
177,2001-04-16,177
178,2001-04-23,178
179,2001-04-30,179
180,2001-05-07,180
181,2001-05-21,181
182,2001-05-28,182
183,2001-06-04,183
184,2001-06-11,184
185,2001-06-18,185
186,2001-06-25,186
